"condition","plot_id","thermal.time","DAS","phenotype_value"
"Optimum",4120,1101,78,48.64034523
"Optimum",4119,1101,78,53.21287847
"Optimum",4118,1101,78,41.98752276
"Optimum",4117,1101,78,47.62004268
"Optimum",4116,1101,78,47.49351121
"Optimum",4115,1101,78,42.04318994
"Optimum",4114,1101,78,55.77574799
"Optimum",4113,1101,78,46.00801149
"Optimum",4112,1101,78,45.50373163
"Optimum",4111,1101,78,48.84564022
"Optimum",5010,1101,78,45.26164315
"Optimum",5009,1101,78,48.19287155
"Optimum",5008,1101,78,42.68322066
"Optimum",5007,1101,78,46.83596436
"Optimum",5006,1101,78,51.99276087
"Optimum",5005,1101,78,43.47247072
"Optimum",5004,1101,78,51.32645569
"Optimum",5003,1101,78,49.05235189
"Optimum",5002,1101,78,46.47264682
"Optimum",5001,1101,78,46.85033502
"Optimum",4101,1101,78,54.55753624
"Optimum",4102,1101,78,50.19470235
"Optimum",4103,1101,78,56.99351007
"Optimum",4104,1101,78,46.13859716
"Optimum",4105,1101,78,47.34973643
"Optimum",4106,1101,78,47.91792248
"Optimum",4107,1101,78,46.21892314
"Optimum",4108,1101,78,48.09702177
"Optimum",4109,1101,78,45.3549617
"Optimum",4110,1101,78,46.13232527
"Optimum",5011,1101,78,43.06732825
"Optimum",5012,1101,78,43.95175471
"Optimum",5013,1101,78,40.15703518
"Optimum",5014,1101,78,37.0001752
"Optimum",5015,1101,78,45.26461951
"Optimum",5016,1101,78,44.04760164
"Optimum",5017,1101,78,46.80396716
"Optimum",5018,1101,78,46.84213174
"Optimum",5019,1101,78,52.41271597
"Optimum",5020,1101,78,45.71664
"Optimum",4100,1101,78,49.05804795
"Optimum",4099,1101,78,39.22966024
"Optimum",4098,1101,78,40.1382034
"Optimum",4097,1101,78,45.01662298
"Optimum",4096,1101,78,44.26321993
"Optimum",4095,1101,78,49.72367305
"Optimum",4094,1101,78,48.11474264
"Optimum",4093,1101,78,49.5042159
"Optimum",4092,1101,78,48.16334821
"Optimum",4091,1101,78,49.84186596
"Optimum",5030,1101,78,45.54903764
"Optimum",5029,1101,78,47.12583115
"Optimum",5028,1101,78,45.27942018
"Optimum",5027,1101,78,47.89566933
"Optimum",5026,1101,78,42.94004184
"Optimum",5025,1101,78,46.63726684
"Optimum",5024,1101,78,53.11623664
"Optimum",5023,1101,78,47.67191289
"Optimum",5022,1101,78,43.6954989
"Optimum",5021,1101,78,39.47211291
"Optimum",4081,1101,78,46.54561118
"Optimum",4082,1101,78,44.13555303
"Optimum",4083,1101,78,52.25390774
"Optimum",4084,1101,78,45.6312732
"Optimum",4085,1101,78,43.74981438
"Optimum",4086,1101,78,42.83186432
"Optimum",4087,1101,78,45.14858196
"Optimum",4088,1101,78,41.590001
"Optimum",4089,1101,78,44.94894463
"Optimum",4090,1101,78,46.5497701
"Optimum",5031,1101,78,36.62883342
"Optimum",5032,1101,78,41.18416028
"Optimum",5033,1101,78,47.67210339
"Optimum",5034,1101,78,44.48952578
"Optimum",5035,1101,78,42.37774968
"Optimum",5036,1101,78,45.59646587
"Optimum",5037,1101,78,49.6593827
"Optimum",5038,1101,78,39.20121222
"Optimum",5039,1101,78,44.50706755
"Optimum",5040,1101,78,49.45891505
"Optimum",4080,1101,78,51.0098968
"Optimum",4079,1101,78,40.02248425
"Optimum",4078,1101,78,54.72690984
"Optimum",4077,1101,78,40.67324306
"Optimum",4076,1101,78,40.42208391
"Optimum",4075,1101,78,54.18296638
"Optimum",4074,1101,78,51.21427396
"Optimum",4073,1101,78,41.84887911
"Optimum",4072,1101,78,46.24652268
"Optimum",4071,1101,78,52.70674784
"Optimum",5050,1101,78,38.26785034
"Optimum",5049,1101,78,37.98749221
"Optimum",5048,1101,78,39.90618533
"Optimum",5047,1101,78,43.15282131
"Optimum",5046,1101,78,43.68551468
"Optimum",5044,1101,78,43.48406768
"Optimum",5043,1101,78,46.11785081
"Optimum",5042,1101,78,43.33221289
"Optimum",5041,1101,78,47.20312476
"Optimum",4061,1101,78,44.38652105
"Optimum",4062,1101,78,39.42204584
"Optimum",4064,1101,78,52.13620167
"Optimum",4065,1101,78,49.5242121
"Optimum",4066,1101,78,39.61275284
"Optimum",4067,1101,78,43.0367508
"Optimum",4068,1101,78,43.50879344
"Optimum",4069,1101,78,42.43532655
"Optimum",4070,1101,78,47.75311599
"Optimum",5053,1101,78,39.49823838
"Optimum",5054,1101,78,40.50011758
"Optimum",5056,1101,78,47.44057335
"Optimum",5057,1101,78,53.80965902
"Optimum",5058,1101,78,40.57849072
"Optimum",5059,1101,78,48.17919007
"Optimum",5060,1101,78,49.31148169
"Optimum",4060,1101,78,43.27797928
"Optimum",4059,1101,78,49.49376836
"Optimum",4058,1101,78,47.66020451
"Optimum",4057,1101,78,47.72830578
"Optimum",4056,1101,78,48.81497352
"Optimum",4055,1101,78,49.38549211
"Optimum",4054,1101,78,44.93127931
"Optimum",4053,1101,78,52.82633671
"Optimum",4052,1101,78,48.37537687
"Optimum",4051,1101,78,47.54479631
"Optimum",5070,1101,78,40.65544254
"Optimum",5069,1101,78,53.17111938
"Optimum",5068,1101,78,46.42396303
"Optimum",5067,1101,78,43.46450882
"Optimum",5066,1101,78,46.1030727
"Optimum",5065,1101,78,43.48253702
"Optimum",5064,1101,78,48.28051213
"Optimum",5063,1101,78,43.77964889
"Optimum",5062,1101,78,56.47926476
"Optimum",5061,1101,78,44.7347633
"Optimum",4041,1101,78,54.8797478
"Optimum",4042,1101,78,57.23869205
"Optimum",4043,1101,78,49.51032451
"Optimum",4044,1101,78,58.00974014
"Optimum",4045,1101,78,51.738691
"Optimum",4046,1101,78,50.11748255
"Optimum",4047,1101,78,54.97157621
"Optimum",4048,1101,78,47.58499521
"Optimum",4049,1101,78,45.47486451
"Optimum",4050,1101,78,50.52395957
"Optimum",5071,1101,78,55.48529677
"Optimum",5072,1101,78,47.45501246
"Optimum",5073,1101,78,45.93477644
"Optimum",5074,1101,78,42.28659901
"Optimum",5075,1101,78,40.72457874
"Optimum",5076,1101,78,47.86394313
"Optimum",5077,1101,78,51.93344715
"Optimum",5078,1101,78,45.29660964
"Optimum",5079,1101,78,41.39393582
"Optimum",5080,1101,78,46.20001888
"Optimum",4040,1101,78,51.29057151
"Optimum",4039,1101,78,50.32355163
"Optimum",4037,1101,78,49.53503965
"Optimum",4036,1101,78,50.19697342
"Optimum",4034,1101,78,51.15110075
"Optimum",4033,1101,78,56.99081632
"Optimum",4032,1101,78,45.74368918
"Optimum",4031,1101,78,53.24346516
"Optimum",5090,1101,78,53.27124819
"Optimum",5089,1101,78,47.11647963
"Optimum",5088,1101,78,51.96695435
"Optimum",5087,1101,78,50.37933071
"Optimum",5086,1101,78,54.59285688
"Optimum",5085,1101,78,51.72913775
"Optimum",5084,1101,78,57.10300533
"Optimum",5083,1101,78,50.77522878
"Optimum",5082,1101,78,43.91927046
"Optimum",5081,1101,78,52.42885735
"Optimum",4021,1101,78,46.54409467
"Optimum",4022,1101,78,45.8370089
"Optimum",4023,1101,78,52.82310598
"Optimum",4024,1101,78,56.15686487
"Optimum",4026,1101,78,56.95367408
"Optimum",4027,1101,78,57.04187063
"Optimum",4028,1101,78,50.1431119
"Optimum",4029,1101,78,46.11552623
"Optimum",4030,1101,78,55.21109798
"Optimum",5091,1101,78,51.72580921
"Optimum",5092,1101,78,45.05454068
"Optimum",5093,1101,78,43.91361144
"Optimum",5094,1101,78,41.11740038
"Optimum",5095,1101,78,48.56691115
"Optimum",5096,1101,78,49.12655968
"Optimum",5097,1101,78,52.88025904
"Optimum",5098,1101,78,42.93355835
"Optimum",5099,1101,78,47.8264079
"Optimum",5100,1101,78,49.83383445
"Optimum",4020,1101,78,45.15685983
"Optimum",4019,1101,78,43.95128997
"Optimum",4018,1101,78,43.55523167
"Optimum",4017,1101,78,42.41351771
"Optimum",4016,1101,78,53.43875911
"Optimum",4015,1101,78,42.08659071
"Optimum",4014,1101,78,41.70443421
"Optimum",4013,1101,78,42.69705936
"Optimum",4012,1101,78,48.644389
"Optimum",4011,1101,78,48.77245995
"Optimum",5110,1101,78,41.65575215
"Optimum",5109,1101,78,43.65120106
"Optimum",5108,1101,78,44.28007714
"Optimum",5107,1101,78,42.44775768
"Optimum",5106,1101,78,51.54230178
"Optimum",5105,1101,78,48.59927403
"Optimum",5104,1101,78,43.42168004
"Optimum",5103,1101,78,48.37695441
